,nickname,text,score,like,dislike,time,watch_movie
3381,ventiiceamericano(farb****),별 기대없이 봤는데 재밌는 영화 ㅋㅋ 아주좋았음. 일부 한남들 페미이즘이니 PC충이니 ㅇㅈㄹ 하는데 이분들은 찐이다 열등감 여기다가 풀지마라 그러니까 니네가 한남소리 듣는거다 ㅋㅋ 그리고 꼴페미 세끼들아 제발 이공계...,10,0,1,2020-08-02 08:21:00,0
3382,신과나눈이야기(sawa****),"figure의 뜻으론 인물, 그리고 계산이란 뜻도 있다.",8,0,1,2019-05-05 16:28:00,0
3383,부라보(jule****),왜 몰랐을까 이 영화를 ㅠㅠ,10,0,1,2019-02-03 10:39:00,0
3384,켄신(neil****),나의 인생영화캐빈코스트너가 이리 멋있었다니~,10,0,1,2019-02-03 10:10:00,0
3385,cued****,진짜 강추합니다우연히 봤는데제 인생 베스트5들정도로멋진영화네요,10,0,1,2019-01-31 12:06:00,0
3386,후아유(hyo2****),(실제 이야기로 만들어진)정말 너무 멋진 인생 영화!!! 현실의 벽 앞에 굴하지 않고 이겨내는 주인공들의 모습에 보는내내 감사하면서 그런 현실에 마음이 아팠으나 결국 능력으로 인정받고 그 벽을 무너뜨리는 모습이 정말...,10,0,1,2019-01-29 22:49:00,0
3387,urology(supe****),히든피겨스랑 더헬프는 한번씩 생각날때마다 보는 영화. 인종차별을 극복하고 성공하는 이런 주제의 영화 너무 좋아함. 재개봉했면 좋겠다..,10,0,1,2019-01-27 14:14:00,0
3388,초살자(prom****),미쳤다 ㅋㅋㅋ 익사이팅 그 자체,10,0,1,2019-01-23 00:12:00,0
3389,Iris(pym5****),"흥미롭게, 인상 깊게 봤어요.",10,0,1,2019-01-18 21:48:00,0
3390,달님(ekfq****),정말 재밌게 봤어요 차별속에서 싸워가는 천자들 멋졌습니다,10,0,1,2019-01-18 13:08:00,0
3391,Nothing hill(eco-****),영화역사의 한 획. 기리 남을 부분.,10,0,1,2018-12-28 21:41:00,0
3392,콜리(koly****),말이필요없음 공백공백,10,0,1,2018-12-25 20:19:00,0
3393,와와(waaw****),감동 자체 생각할 것이 많았던 영화였어요,10,0,1,2018-12-21 01:59:00,0
3394,이리(mero****),재밌음 꼭 보시길 바람~~~,10,0,1,2018-12-20 19:36:00,0
3395,hpgi****,눈이 아닌 가슴을 자극하는 영화,10,0,1,2018-12-19 13:29:00,0
3396,Daro(jinj****),"흑인은 감동하고, 백인은 포용하고, 황인은 배제된 영화.",5,0,1,2018-11-23 01:25:00,0
3397,3408621(hfv7****),감동적이고 그 시대를 알게 해줘서 고마운 영화입니다.,9,0,1,2018-08-24 19:37:00,0
3398,bitt****,무거운 이야기지만 유쾌하게 잘만들었다. 투쟁은 분노를  넘어서 유머와 인간다움으로 맞설때 더 빛나는것같다.,9,0,1,2018-07-29 09:54:00,0
3399,피오스(rlad****),간만에 좋은 영화 봤습니다.,9,0,1,2018-01-03 16:29:00,0
3400,띵산(shin****),재미있게 잘 봤스니다.,1,0,1,2017-09-28 01:09:00,0
3401,바빈스키(mesu****),재미없다 흑인차별 다루는 얘기인데 영화의 메시지는 알겠으나 재미가없음,1,0,1,2017-09-28 01:05:00,0
3402,myas****,맘마미아!!!!  간만에 감동을느낀 명작!~ 절대 인종차별 은 없어져야 한다!,10,0,1,2017-09-27 19:15:00,0
3403,사리푸트라(brin****),괜히 벅차오르는 영화였다,10,0,1,2017-09-22 00:08:00,0
3404,000(fasc****),영화 배경보다 50년이 지난 시기를 살고있지만 여전히 사회적 차별이 존재하고 있다는 걸 생각해보게 되고 반성하게 된다.,10,0,1,2017-09-18 17:31:00,0
3405,민민설탕(thgu****),이런영화 더 많이 만들어지면 좋겠어요,10,0,1,2017-09-15 02:50:00,0
3406,불낙지냠냠(ala2****),마지막 해설에서 소름이돋았다,10,0,1,2017-09-14 20:08:00,0
3407,우햐(leeg****),억지스런 쥐어 짜기 영화가 아닌 가슴속에서부터 뜨거워 지는.. 이런게 감동,10,0,1,2017-09-14 15:02:00,0
3408,김신혁(hhf1****),최고다 최고다 인간은 존엄하다,10,0,1,2017-09-12 19:22:00,0
3409,일단12(chzh****),가족들끼리 재밌게 봤어요 끝까지 재밌게봤습니다^^ 명작 중 명작!,10,0,1,2017-09-09 23:25:00,0
3410,탱이85(pati****),간만에 정말 괜찮은 휴먼영화네요!!실화라서 더 감동입니다.,10,0,1,2017-09-09 18:45:00,0
3411,속도조절(jscp****),정말 잘만든 영화다구도 대사 표정 교훈도 주고,10,0,1,2017-09-09 14:40:00,0
3412,초록바다(cart****),영화 참 잘 만들었다 가슴뭉클,10,0,1,2017-09-06 16:28:00,0
3413,아몰라(stit****),우와~ 오랜만에 영화보고 슬퍼서가 아니고 감동받아서 눈물 흘려보는군요ㅠ,10,0,1,2017-09-06 11:41:00,0
3414,흐르는강물처럼(djun****),이게 뭐라고 재밌냐..그냥 흑인차별하는 영화인데 차별을 너무나 당연히 받아들이던 시대.. 차별에 맞서거나 좌절하는 내용이였으면 재미없었을텐데 주어진 상황내에서 어떻게든 해결해보려는 주인공들의 노력이 많은 생각이 들게...,10,0,1,2017-09-06 08:56:00,0
3415,hope****,무한감동 영화네요 정말,10,0,1,2017-09-06 00:40:00,0
3416,rlag****,재밌다 ㅋㅋㅋㅋ 인.간.승.리!!!,10,0,1,2017-09-05 01:44:00,0
3417,Ekikie(ekik****),와 오랜만에 영화본것 같다 ㅋㅋㅋ,10,0,1,2017-09-04 00:40:00,0
3418,하네푸트(syeu****),진짜 내가 본 영화중에서 감동적인 영화중 하나임,10,0,1,2017-08-31 22:21:00,0
3419,cybe****,so impressive movie,10,0,1,2017-08-30 17:02:00,0
3420,eyec****,인종과 성차별을 이겨나가는 감동에 재미까지 갖춘 실화. 박수 짝짝.,10,0,1,2017-08-27 13:56:00,0
3421,오페라하우스(pica****),인종과 국적의 차별은 인류의 가장 어리석은 자들을 지도자로 만들면서 자행되었고 거기에 동조한 시대는 가장 부끄러운 역사가 되었다.,10,0,1,2017-08-26 14:50:00,0
3422,오과장(daln****),작품성 훌륭합니다. 인종차별과 여성인권에 편견에 맞서는 주인공!,10,0,1,2017-08-25 22:21:00,0
3423,Tina Blossom(2038****),감동적인 실화바탕 스토리정말 좋은영화네요,10,0,1,2017-08-25 19:55:00,0
3424,youn****,기자 랑 평론가들이 왜이렇게 점수를 낮게줌 ㅠㅠ,10,0,1,2017-08-24 18:31:00,0
3425,페트라(love****),"정말 인생 처음으로 평점이란걸 다네요인생작 순위를 바꾼 영화에요감동과 전율, 탄탄한 스토리와 먼진 배우들의 연기이것이 실화라니 더 인상적이었네요딸이 크면 같이 다시 보려구요강추합니다",10,0,1,2017-08-18 09:32:00,0
3426,정재경(calm****),이런 영화가 더 많이 만들어졌으면 좋겠습니다.,10,0,1,2017-08-17 19:22:00,0
3427,07070(hsy8****),"여성이며, 흑인이었던 세 명의 멋진 나사의 영웅들을 보며 지금의 내 모습을 다시 생각해 볼 수 있었다. 나는 과연 치열했는가..?",10,0,1,2017-08-16 02:52:00,0
3428,607h****,인생영화 등극! 꼭 보세요~~재미도 있고 많은 생각을 하게 하는 영화입니다.,10,0,1,2017-08-15 22:49:00,0
3429,smj89(xfoo****),최근에 본 영화중에 최고네요,10,0,1,2017-08-13 21:29:00,0
3430,승현(tmdg****),정말 가슴이 멍한 영화 꼭 추천합니다,10,0,1,2017-08-13 01:45:00,0
3431,EYXXNS(as99****),후반부 존글렌이 탑승하기까지의 편집은 예술이였다.,10,0,1,2017-08-08 14:28:00,0
