,nickname,text,score,like,dislike,time,watch_movie
6864,사자(maga****),귀를 즐겁게 하는 음악과 두 배우의 연기 좋았습니다,10,0,0,2019-01-09 21:29:00,0
6865,뱅집이(sayn****),개꿀잼꼭보셈..진짜인생영화,10,0,0,2019-01-09 21:28:00,0
6866,뱅집이(sayn****),개꿀잼꼭보셈..진짜인생영화,10,0,0,2019-01-09 21:28:00,0
6867,이예슬(yiye****),"예매 까먹고 못봣는데 오백원 얻으려고 벌점 쓰며 다시 도전하겟음 ㅎㅏㅅㅣ,,,,",10,0,0,2019-01-09 21:23:00,관람객
6868,awamanofjang(haky****),역시 비고모텐슨은 살을 찌워도 멋있어요-^^언터쳐블이 생각날 수도 있는 뻔한 우정영화 일 수 있지만 경쾌한 재즈피아노와 두 배우의 연기가 잘 어우러져 좋은 작품이 만들어졌네요 기분 좋아지는 영화~,10,0,0,2019-01-09 19:08:00,0
6869,컨맨(sunj****),1861년 노예문제가 기폭제가 되어 발발한 남북전쟁이 있은 후 100년이 지났지만 여전히 흑인에 대한 차별은 변한 것이 없었다.1962년 딥 사우스의 풍경과 어우러진 음악은 영화의 품격을 더해준다.,10,1,1,2020-06-10 16:50:00,0
6870,inchinchinch(milk****),잘 만든 영화인건 틀림 없는데 9.6은 글쎄..,7,1,1,2020-03-28 22:47:00,0
6871,Jay(mytj****),"""천재성만으로는 부족하거든. 사람의 마음을 움직이려면 용기가 필요해요"" 트리오중 한명이 한 말인데, 두 주인공은 자신의 운명 앞에서 용기있게살고 있었네요, 정말 멋진 영화!!!",10,1,1,2020-03-21 23:05:00,0
6872,제이(ange****),최고다. 영화가 주는 메시지와 벅참이 엄청나다..,10,1,1,2020-03-21 22:43:00,0
6873,은아(jayl****),마지막까지 조마조마하면서 봤어요 ㅠㅠ 근데 미국의 인종차별이 저정도까지 심했을 줄은 몰랐어요..,10,1,1,2020-03-21 01:00:00,0
6874,싱싱이(phw0****),옛날에 '인생이 힘들때 그린북을 펼쳐보세요.'라는 관객 평이 있었는데 어디갔는지 모르겠다. 아무튼 영화 보기 전에는 띵작일 것 같긴 한데 '인생 힘들때 도움이 될까?' 싶었는데 보면서 그...,10,1,1,2020-03-18 23:52:00,0
6875,랄라(makb****),비고 모텐슨 미국 출생인데 이딸리아노 발음 흉내내는 연기 오졌다리,10,1,1,2020-03-15 19:53:00,0
6876,러브수(shlu****),이 영화 안 본 사람 없게 해주세요,10,1,1,2020-02-15 01:51:00,0
6877,00(ehfk****),"반복되는 피해의 경험으로 생긴 편견은 방어로 작용하지만, 인종혐오로 생긴 편견은 계급주의와 억압으로 작용한다. 두 편견이 사회에 끼치는 영향과 결과가 매우 다르기에 동일선상에 둘 수 없는 것이다. 이 차이점은 모든 ...",7,1,1,2020-02-14 08:40:00,0
6878,극(grol****),차별을 어떻게 대해야하는가 대답이 아닌 질문을 무척 겸손하게 던지는 영화,10,1,1,2020-02-14 02:32:00,0
6879,우주맘(jem5****),정말 한장면 한장면 너무 아프고 훈훈하고마지막은 따뜻함으로 눈물 왈콱,10,1,1,2020-02-13 00:59:00,0
6880,bch(fran****),너무 감동적이고 한편으로는 먹먹하다. 빌어먹을 인종차별,10,1,1,2020-02-12 22:36:00,0
6881,김규민(gusr****),"단언컨대 2019년 최고의 영화. 감동과 재미 모두를 잡음. 웃기려고 발악하고 만든 극한직업을 보면서 웃음을 잃었던 내가,  코미디 영화도 아닌 이 영화를 보면서 오히려 웃음을 찾았음",10,1,1,2020-01-01 19:13:00,0
6882,류샘(tose****),훈훈하네요~ 이런 영화가 진짜영화입니다~!,10,1,1,2019-12-31 19:33:00,0
6883,superkid(yise****),"역시 아카데미라고 생각하면서 봤는데, 기생충 보고 다시 보니까 흔해빠진 부자-서민 친구먹기 영화더라",7,1,1,2019-12-31 17:49:00,0
6884,ggum****,천의무봉인 영화.  올해가 가기 전에 이 영화를 보게 되어 다행. 크리스마스  선물을 받은 기분. 더더 많은 사람들이 봤으면..,10,1,1,2019-12-26 12:13:00,0
6885,마시(jsw0****),감동적이려 한 장면이 없었지만 감동적인 영화였어요. 중간중간 토니의 대사들이 좀 거슬리긴 하였지만 셜리의 교양있는 표정과 대사 행동으로 오히려 무안주는 유머가 너무나 좋았어요ㅋㅋ 그리고 변해가는 토니의 모습도 좋았고...,10,1,1,2019-12-21 00:48:00,0
6886,iui(ivis****),스포일러가 포함된 감상평입니다. 감상평 보기,9,1,1,2019-11-29 23:40:00,0
6887,19(lsj8****),잘 봤지? 자본의 힘을.,7,1,1,2019-08-15 00:03:00,0
6888,널(tlsa****),요즘 영화중 주연급 여자가 안나온다는것만으로도  10점 받아 마땅한 영화다.,10,1,1,2019-05-09 11:31:00,0
6889,chi7****,이 영화는 인종차별이 아니라 편견에 대한 영화다,10,1,1,2019-04-07 00:08:00,0
6890,황제(bhwi****),"이 스토리에 빚대어 백인들의 동양인에 대한 인종차별, 그리고 아직 그것을 겪어보지 못한 동양인인 나에게 그런 인종차별로부터의 수치심과 치욕을 간접적으로나마 느낄 수 있게 담담하게 보여준 영화",10,1,1,2019-04-02 16:00:00,0
6891,청림(wlgh****),감동그자체 억지스러운거 하나 없이 하나하나 최고였다,10,1,1,2019-03-31 01:01:00,0
6892,손로몬(kiki****),난이영화를봤다'ㅅ',10,1,1,2019-03-21 09:36:00,0
6893,모귀(mono****),결국 사람은 사람 곁에 있을 때 행복해질 수 있다.,8,1,1,2019-03-16 11:21:00,0
6894,레알바르샤(zxcv****),이  영화 재미있어요. 크리스마스 때 보면 기분 매우 좋을거 같습니다. 크리스마스때 커플들이 보면 임신 더 잘될듯,10,1,1,2019-03-09 18:02:00,0
6895,안달루시아(reda****),"‘다른’ 두 사람이 서로를 알아간다는 것의 진정성.  혐오는 무지에서, 사랑은 이해에서, 변화는 용기에서 시작된다.",9,1,1,2019-03-08 23:56:00,0
6896,hyun****,살면서 영화 평점 처음 남깁니다. 두 번보세요. 세 번보세요. 몇 번을 봐도 완벽 그자체.,10,1,1,2019-03-06 01:42:00,0
6897,자스민(jane****),라디오스타 같은 영화~잔잔하면서 너무 재밌네요^^,10,1,1,2019-03-04 23:41:00,0
6898,유정(ovov****),좋은 영화. 한국영화에서는 절대 느낄 수 없는 감성,10,1,1,2019-02-28 00:24:00,0
6899,꾹(leei****),너무 무겁지 않은 무거운 이야기,8,1,1,2019-02-28 00:11:00,관람객
6900,egumoney(yout****),올해 최고!많은 생각을 하게 해준 영화,10,1,1,2019-02-28 00:09:00,0
6901,우하하하(suha****),와 또보고 싶은 영화!!,10,1,1,2019-02-28 00:00:00,0
6902,nana****,생각보다 코믹하고 가족적이네요. 부담없이 재밌게 봤어요~^^,10,1,1,2019-02-27 23:44:00,0
6903,ism00(comi****),멋지다 진짜.. 잔잔하지만 그 안에 많은 의미를 담고 있는 영화같다!,10,1,1,2019-02-27 23:39:00,0
6904,김태영(kiss****),우리나라가 후진국인 이유. 이런 영화를 제쳐두고 극한직업 ? ㅋㅋ,10,1,1,2019-02-10 14:09:00,0
6905,김에이스(kimi****),꼭봐야될영화 입니다^^,10,1,1,2019-02-06 11:33:00,관람객
6906,퍼니블랙(funn****),따뜻한 여운이 마음에 남는 사랑스러운 영화,9,1,1,2019-02-01 10:21:00,관람객
6907,kyou****,"따뜻하고 유쾌하지만, 인종차별에 대한 아주 얕은 이해를 기반으로 한다",7,1,1,2019-01-21 14:16:00,관람객
6908,KIMWONYONG(wony****),감동적 영화. 한국인의 인종적 편견에 대한 경종,10,1,1,2019-01-20 00:52:00,관람객
6909,한빛(ceun****),생각많이하게하는 영화입니다,4,1,1,2019-01-19 12:57:00,관람객
6910,moab****,올 크리스마스에 다시  상영했으면 좋겠네요,9,1,1,2019-01-16 21:03:00,0
6911,yupg****,은근사이다같은두명이만나서벌어지는일들로인한소소한재미가있는영화...그리고흑인관련영화는언제나슬픈면이있다...평점은8.9점주고싶다,8,1,1,2019-01-16 13:59:00,0
6912,Harry Yun(lioo****),아무런 부담 없이 모든게 파악가능한 영화. 연출력에 감동을 받았습니다.,10,1,1,2019-01-14 11:30:00,0
6913,해피데이(doll****),역시 영화는 여운이 남는걸 봐야됨.  평이 괜찮길래 봤는데 잘 선택했습니다.  요새 영화라는게 전부 오락아니면 어벤져스 이런 질떨어지는거 너무 피로합니다. 물론 그 영화들도 나름 재밌지만 영화는 역시 그린북같은 생각...,8,1,1,2019-01-13 14:57:00,0
6914,abcde(pink****),"혼자라도, 혼자서, 보길 잘함. 또 보고 싶다.",9,1,1,2019-01-12 11:59:00,0
